2026-07-03 19:01:50,622 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 19:01:51,379 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 19:01:51,391 | INFO | 💾 บันทึกข้อมูล -> data/20260703_190151.csv
2026-07-03 19:01:51,883 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 19:01:51,883 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 19:01:51,883 | INFO | เริ่ม AI Tournament
2026-07-03 19:01:51,886 | INFO | กำลัง Train Random Forest
2026-07-03 19:01:52,589 | INFO | กำลัง Train Gradient Boosting
2026-07-03 19:01:53,163 | INFO | กำลัง Train XGBoost
2026-07-03 19:01:53,348 | INFO | 
2026-07-03 19:01:53,348 | INFO | =============================================
2026-07-03 19:01:53,348 | INFO | 🏆 AI Leaderboard
2026-07-03 19:01:53,349 | INFO | =============================================
2026-07-03 19:01:53,349 | INFO | 1. Gradient Boosting   47.47%
2026-07-03 19:01:53,349 | INFO | 2. Random Forest       44.94%
2026-07-03 19:01:53,350 | INFO | 3. XGBoost             44.38%
2026-07-03 19:01:53,350 | INFO | =============================================
2026-07-03 19:01:53,350 | INFO | 🏆 Winner : Gradient Boosting
2026-07-03 19:01:53,357 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 19:01:53,387 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 19:01:53,400 | INFO | 
2026-07-03 19:01:53,404 | INFO | ========== Prediction ==========
2026-07-03 19:01:53,405 | INFO | Signal      : 🔴 SELL
2026-07-03 19:01:53,405 | INFO | Confidence  : 56.43%
2026-07-03 19:01:53,405 | INFO | ===============================
2026-07-03 19:01:53,406 | INFO | สร้าง Strategy สำเร็จ
2026-07-03 20:04:34,552 | INFO | เริ่มต้นโปรแกรม
2026-07-03 20:04:34,553 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 20:04:35,581 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 20:04:35,598 | INFO | 💾 บันทึกข้อมูล -> data/20260703_200435.csv
2026-07-03 20:04:36,408 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 20:04:36,409 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 20:04:36,409 | INFO | เริ่ม AI Tournament
2026-07-03 20:04:36,415 | INFO | กำลัง Train Random Forest
2026-07-03 20:04:37,284 | INFO | กำลัง Train Gradient Boosting
2026-07-03 20:04:37,869 | INFO | กำลัง Train XGBoost
2026-07-03 20:04:38,044 | INFO | 
2026-07-03 20:04:38,046 | INFO | =============================================
2026-07-03 20:04:38,046 | INFO | 🏆 AI Leaderboard
2026-07-03 20:04:38,046 | INFO | =============================================
2026-07-03 20:04:38,046 | INFO | 1. Gradient Boosting   47.47%
2026-07-03 20:04:38,046 | INFO | 2. Random Forest       44.94%
2026-07-03 20:04:38,047 | INFO | 3. XGBoost             44.38%
2026-07-03 20:04:38,047 | INFO | =============================================
2026-07-03 20:04:38,047 | INFO | 🏆 Winner : Gradient Boosting
2026-07-03 20:04:38,054 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 20:04:38,080 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 20:04:38,084 | INFO | 
2026-07-03 20:04:38,084 | INFO | ========== Prediction ==========
2026-07-03 20:04:38,084 | INFO | Signal      : 🔴 SELL
2026-07-03 20:04:38,084 | INFO | Confidence  : 56.43%
2026-07-03 20:04:38,086 | INFO | ===============================
2026-07-03 20:04:38,087 | INFO | สร้าง Strategy สำเร็จ
